frbname,gwname,fix_lnb,relax_lnb,gwstat,ranking
FRB20190519E,190519_032939,1.2358949047047645,1.401476581231691,-1.5443193912506104,-1.7099010677775368
FRB20190527C,190527_222123,2.4377338467165828,2.544959133840166,-1.632373332977295,-1.7395986201008782
FRB20190412A,190412_105252,7.177471789997071,6.478425049455836,-2.4424691200256348,-1.7434223794844002
FRB20190403A,190403_023610,1.191028214991093,1.621551419608295,-1.3682825565338137,-1.7988057611510158
FRB20190517C,190517_220810,0.3862543021095916,2.4430083932820708,0.2432595491409301,-1.813494542031549
FRB20190425B,190425_180700,2.242917903116904,2.888442344148644,-1.1739099025726318,-1.819434343604372
FRB20190629A,190629_135204,1.7461652234196663,0.5000360049307346,-3.073628187179565,-1.827498968690633
FRB20190516B,190516_033726,25.73549363296479,29.161782116629183,1.5957527160644531,-1.8305357675999403
FRB20190701C,190701_193739,1.6276289094239471,3.517392158508301,0.042654812335968,-1.8471084367483857
FRB20190501B,190501_105256,1.3842368758050725,1.3868636781116948,-1.8501255512237549,-1.8527523535303767
FRB20190519G,190519_124856,-0.3174604552332312,2.3096789619885385,0.7270084023475647,-1.900131014874205
FRB20190601B,190601_163221,0.1551549457944929,2.274829871719703,0.2126441597938537,-1.9070307661313564
FRB20190416A,190416_040509,1.5931592076085508,2.948422299232334,-0.5563587546348572,-1.9116218462586403
FRB20190420B,190420_002747,1.8169124349951744,0.4716662345454097,-3.2828474044799805,-1.937601204030216
FRB20190518C,190518_082303,0.6304985353490338,8.733285163412802,6.161550521850586,-1.9412361062131824
FRB20190628A,190628_025208,-0.1611934415996074,0.5652088075876236,-1.216306447982788,-1.9427086971700191
FRB20190609A,190609_024643,-0.1299186102114617,1.6734921876341105,-0.1417990922927856,-1.9452098901383577
FRB20190612B,190612_052943,13.574892944190651,11.165444168262184,-4.386221885681152,-1.9767731097526848
FRB20190614C,190614_141424,1.2627009239513427,0.005626743659377,-3.25219464302063,-1.9951204627286645
FRB20190701E,190701_223215,-0.8373782075941563,-0.1606008801609277,-1.3833796977996826,-2.060157025232911
FRB20190519G,190519_124831,0.1368709946982562,0.513500485336408,-1.6999568939208984,-2.07658638455905
FRB20190519G,190519_124748,-0.7615609040949494,-0.2652709637768566,-1.6197752952575684,-2.116065235575661
FRB20190613B,190613_185752,-1.2295041838660836,-0.2218326549045741,-1.1197407245635986,-2.127412253525108
FRB20190517C,190517_220646,0.649009030428715,0.8284617493627593,-1.9542713165283203,-2.133724035462365
FRB20190701B,190701_095125,-0.1015290804207325,0.5341643579304218,-1.5134971141815186,-2.149190552532673
FRB20190628B,190628_055639,2.7492102868855,7.192126739770174,2.26419448852539,-2.178721964359284
FRB20190519G,190519_124728,-0.9285355901811272,4.426980564370751,3.1723501682281494,-2.183165986323729
FRB20190617A,190617_021245,1.957445505307988,3.715873213717714,-0.4429618716239929,-2.2013895800337187
FRB20190404B,190404_123131,0.8115435129730031,7.926256375270896,4.902740478515625,-2.211972383782268
FRB20190520A,190520_102447,3.952261843718589,6.106484568910673,-0.0595189332962036,-2.213741658488288
FRB20190409B,190409_032635,4.0579220885410905,7.341677639633417,1.068035125732422,-2.2157204253599048
FRB20190601D,190601_205629,2.620406715199352,2.7873308525886387,-2.0574991703033447,-2.224423307692631
FRB20190429A,190429_120925,2.3194238734431565,5.511939223390073,0.9558037519454956,-2.2367115980014205
FRB20190604D,190604_043014,0.8070035576820374,1.185235321521759,-1.8728241920471191,-2.251055955886841
FRB20190607A,190607_164005,1.1791487373411655,2.454979559406638,-0.986806094646454,-2.2626369167119265
FRB20190416A,190416_040657,1.9902947439113632,2.715866078622639,-1.5547449588775637,-2.2803162935888395
FRB20190601D,190601_205505,4.8744148968253285,9.769172086147591,2.6123204231262207,-2.2824367661960423
FRB20190404A,190404_044008,1.042568123433739,2.9986921665258706,-0.359828233718872,-2.315952276811004
FRB20190516B,190516_033842,0.4355465996777639,1.9730766415596008,-0.7895627617835999,-2.327092803665437
FRB20190422B,190422_042909,0.01319210533984,1.1794231671374291,-1.1652655601501465,-2.3314966219477355
FRB20190616A,190616_055749,-1.0817773947492242,-0.2470624004490673,-1.497737169265747,-2.332452163565904
FRB20190612C,190612_195659,-0.884964192751795,3.2118961873929948,1.764311671257019,-2.3325487088877708
FRB20190502B,190502_073138,3.347649587551132,2.756215232191608,-2.925320625305176,-2.333886269945652
FRB20190530A,190530_200719,-0.2503348803147673,1.805814346298576,-0.2814793586730957,-2.337628585286439
FRB20190517D,190517_145746,2.061731329187751,0.9767660775687546,-3.438962936401367,-2.353997684782371
FRB20190601C,190601_211449,-0.503520896891132,0.3920938472729176,-1.4588284492492676,-2.354443193413317
FRB20190411B,190411_050108,-1.12130293273367,0.3521011169068515,-0.8982700705528259,-2.371674120193348
FRB20190701D,190701_205246,1.50696013122797,2.0822847113013268,-1.8004822731018066,-2.3758068531751637
FRB20190403B,190403_042116,-1.0485803708434105,2.433876554016024,1.097121000289917,-2.3853359245695174
FRB20190527A,190527_162829,-1.0184003405738622,1.6040562849957496,0.2356989979743957,-2.386757627595216
FRB20190701E,190701_223225,2.721325736492872,3.152917269617319,-1.957462906837464,-2.389054439961911
FRB20190630C,190630_175012,3.243903622031212,2.71803280338645,-2.922190427780152,-2.3963196091353898
FRB20190420C,190420_104045,2.4652496338821948,4.528220516513102,-0.3526296019554138,-2.415600484586321
FRB20190701D,190701_205419,1.0823421366512775,1.818207835778594,-1.7124669551849363,-2.448332654312253
FRB20190701B,190701_094934,-0.5202730558812618,0.3238015435636043,-1.6044366359710691,-2.4485112354159355
FRB20190518D,190518_090539,6.471494461409748,5.083505910588428,-3.840117931365967,-2.452129380544648
FRB20190613B,190613_185550,-0.7065044837072492,-0.3078055805526674,-2.05961537361145,-2.458314276766032
FRB20190621B,190621_025207,2.424745817785152,2.304954495513812,-2.6042368412017822,-2.484445518930442
FRB20190420A,190420_011256,0.0831029000692069,0.1719735972583294,-2.401672124862671,-2.4905428220517933
FRB20190421B,190421_232634,1.0874998637009412,2.641399101121351,-0.9539914727211,-2.5078907101415098
FRB20190421B,190421_232615,2.0847429162822664,3.4591879507061094,-1.1511869430541992,-2.5256319774780422
FRB20190531E,190531_162841,0.3488267527427524,0.3819865987170487,-2.512284994125366,-2.5454448400996625
FRB20190427A,190427_225245,0.3992699059890583,1.4625559977721423,-1.485992431640625,-2.549278523423709
FRB20190517C,190517_220633,1.5978762335143983,1.6420916713541374,-2.5131173133850098,-2.557332751224749
FRB20190420A,190420_011504,0.6959697557613254,1.805958162993193,-1.4490728378295898,-2.559061245061457
FRB20190420C,190420_103905,2.5067626144737005,6.090063461568207,1.017857551574707,-2.5654432955198
FRB20190403A,190403_023841,0.6531487824395299,4.98966958373785,1.760665774345398,-2.5758550269529223
FRB20190527A,190527_162737,-1.001075935550034,0.2076474169734865,-1.4131619930267334,-2.621885345550254
FRB20190403C,190403_114933,-0.6955410842783749,1.0427835350856185,-0.8843565583229065,-2.6226811776869
FRB20190701B,190701_095028,-0.557680394500494,-0.0431196391582489,-2.112011432647705,-2.62657218798995
FRB20190408A,190408_122556,-0.8251603050157428,2.065851528896019,0.2543472647666931,-2.6366645691450685
FRB20190519H,190519_153413,0.5063348021358252,3.2142480574548244,0.0573142766952514,-2.650598978623748
FRB20190629A,190629_135217,0.1401652581989765,0.765026368200779,-2.081783533096313,-2.7066446430981155
FRB20190423D,190423_200929,3.2371474732644856,3.356566419359297,-2.595254421234131,-2.7146733673289423
FRB20190517D,190517_145913,2.206310284556821,0.9993366694543512,-3.929146051406861,-2.722172436304391
FRB20190420C,190420_104112,0.6756082843057811,0.8262712827418,-2.5810770988464355,-2.7317400972824544
FRB20190519H,190519_153231,-0.1778115495108068,-0.1218844598624855,-2.683000326156616,-2.738927415804937
FRB20190419B,190419_223851,2.1731789640616626,5.84421521355398,0.923320472240448,-2.747715777251869
FRB20190410B,190410_122742,0.7121364064514637,2.537819529650733,-0.9285255074501038,-2.754208630649373
FRB20190614C,190614_141345,1.199584663612768,5.098292609443888,1.144004464149475,-2.754703481681645
FRB20190623C,190623_150834,0.0350827532820403,0.6868085532914847,-2.153592586517334,-2.8053183865267783
FRB20190412A,190412_105326,-0.3733409277629107,0.6934833838604391,-1.7420885562896729,-2.808912867913022
FRB20190519H,190519_153156,1.1578400996513665,0.9159791821148248,-3.0582540035247803,-2.8163930859882385
FRB20190531C,190531_133214,0.8908048382727429,1.3480887284968048,-2.3635916709899902,-2.820875561214052
FRB20190428A,190428_050208,17.66167413140647,17.067142407409847,-3.423330068588257,-2.8287983445916325
